long,lat
181.62,-20.42
181.03,-20.62
184.1,-26.0
181.66,-17.97
181.96,-20.42
184.31,-19.68
166.1,-11.7
181.93,-28.11
181.74,-28.74
179.59,-17.47
180.69,-21.44
167.0,-12.26
182.11,-18.54
181.66,-21.0
169.92,-20.7
184.95,-15.94
165.96,-13.64
181.5,-17.83
179.78,-23.5
180.31,-22.63
181.16,-20.84
166.32,-10.98
180.16,-23.3
182.0,-30.2
180.28,-19.66
181.49,-17.94
167.51,-14.72
180.79,-16.46
181.47,-20.97
182.37,-19.84
179.24,-22.58
166.74,-16.32
185.05,-15.55
180.8,-23.55
186.0,-16.3
179.33,-25.82
169.23,-18.73
181.28,-17.64
181.4,-17.66
169.33,-18.82
176.78,-37.37
186.1,-15.31
179.82,-24.97
186.04,-15.49
169.41,-19.23
182.3,-30.1
181.7,-26.4
166.32,-11.77
180.08,-24.12
185.25,-18.97
182.35,-18.75
184.42,-19.26
173.2,-22.75
180.67,-21.37
182.16,-20.1
182.13,-19.85
181.0,-22.7
180.6,-22.06
181.35,-17.8
179.2,-24.2
181.55,-20.69
182.4,-21.16
172.38,-13.82
166.22,-11.49
181.41,-20.68
184.93,-17.1
181.6,-20.14
179.62,-21.96
181.86,-20.42
187.81,-15.46
185.8,-15.31
184.35,-19.86
166.2,-11.55
179.99,-23.74
181.23,-17.7
180.04,-23.54
184.7,-19.21
167.06,-12.11
181.71,-21.81
181.11,-28.98
180.21,-34.02
180.99,-23.84
182.38,-19.57
183.4,-20.12
181.7,-17.7
184.31,-19.66
170.5,-21.5
179.96,-23.64
186.3,-15.43
186.44,-15.41
167.53,-15.48
167.06,-13.36
182.02,-20.64
169.71,-19.72
185.26,-15.44
182.4,-19.73
181.11,-27.24
183.41,-18.16
166.54,-13.66
179.92,-24.57
185.61,-16.98
178.41,-26.2
180.39,-21.88
181.6,-33.0
180.69,-21.33
183.5,-19.44
180.6,-34.89
169.49,-20.24
185.9,-22.55
177.81,-36.95
185.23,-15.75
182.31,-16.85
182.45,-19.06
178.3,-26.11
178.35,-26.2
178.31,-26.13
172.23,-13.66
172.29,-13.47
167.4,-14.6
169.48,-18.96
166.97,-14.65
178.9,-19.9
180.4,-22.05
182.43,-19.22
180.6,-31.24
167.89,-17.93
183.84,-19.3
178.57,-26.53
181.7,-27.72
183.51,-19.19
185.43,-17.43
181.22,-17.05
168.98,-19.52
180.3,-23.71
180.82,-21.3
168.02,-16.24
187.32,-16.14
182.8,-23.95
182.6,-25.2
184.16,-18.84
169.46,-12.66
181.4,-20.65
167.1,-13.23
181.43,-29.91
173.5,-14.31
184.4,-20.1
185.17,-17.8
173.49,-21.27
180.17,-23.58
181.5,-17.9
184.5,-23.34
167.62,-15.56
182.56,-23.83
165.8,-11.8
167.68,-15.54
181.32,-20.65
166.07,-11.75
180.0,-24.81
169.84,-20.9
166.24,-11.34
180.5,-17.98
179.52,-24.34
167.16,-13.86
180.2,-35.56
179.9,-35.48
179.43,-34.2
182.12,-26.0
183.84,-19.89
180.0,-23.43
169.42,-18.89
181.83,-17.82
180.34,-25.68
180.9,-20.2
184.68,-15.2
182.29,-15.03
180.2,-32.22
180.64,-22.64
185.16,-17.42
181.48,-17.84
184.24,-15.02
181.75,-18.04
183.5,-24.6
184.3,-19.88
183.0,-20.3
181.85,-20.45
187.09,-17.67
181.9,-22.3
181.85,-19.85
179.88,-24.27
185.13,-15.85
184.09,-20.02
169.31,-18.56
182.0,-17.87
179.5,-24.08
179.61,-32.2
181.19,-20.36
182.53,-23.85
182.75,-24.0
181.74,-20.41
180.3,-17.72
182.18,-19.67
182.2,-17.7
183.59,-16.23
183.35,-26.72
169.09,-12.95
182.32,-21.97
180.54,-21.96
181.69,-20.32
180.62,-30.28
182.3,-20.2
180.13,-30.66
184.1,-16.17
181.71,-28.25
185.68,-20.47
180.27,-23.55
181.58,-20.94
182.4,-26.67
181.52,-18.13
183.83,-20.21
182.39,-18.31
185.7,-16.52
171.65,-22.36
184.48,-22.43
182.1,-20.37
180.16,-23.77
166.66,-13.65
182.9,-21.55
185.75,-16.24
182.53,-23.73
171.52,-22.34
180.94,-19.4
180.81,-24.64
182.82,-16.0
185.35,-19.62
180.13,-23.84
179.93,-23.54
182.68,-28.23
180.63,-21.68
166.53,-13.44
180.22,-24.96
182.74,-20.08
182.84,-24.36
166.0,-14.7
183.68,-18.2
185.51,-16.65
181.67,-18.11
181.65,-17.95
186.9,-15.5
180.01,-23.36
169.5,-19.15
166.26,-10.97
167.24,-14.85
181.38,-17.8
170.4,-22.5
182.1,-29.1
180.88,-20.32
184.89,-16.09
169.33,-19.18
179.36,-23.81
179.89,-23.79
184.23,-19.02
181.51,-20.9
169.01,-19.06
181.47,-17.88
183.05,-19.41
184.2,-26.17
167.24,-14.95
168.8,-18.73
182.37,-20.21
180.85,-21.29
181.41,-19.76
180.38,-22.09
179.9,-23.8
181.99,-20.16
180.38,-22.13
181.4,-17.44
180.18,-23.33
179.22,-24.78
180.52,-22.0
182.51,-19.13
180.1,-30.72
180.54,-22.32
177.77,-16.45
185.0,-17.7
184.68,-17.95
179.85,-24.4
180.6,-19.3
185.32,-21.13
181.57,-18.07
182.28,-20.6
181.49,-18.48
166.2,-13.34
181.5,-20.92
179.69,-25.31
186.21,-15.24
185.86,-16.4
178.4,-24.57
181.51,-17.94
181.2,-30.64
169.32,-18.64
169.28,-13.09
184.14,-19.68
185.74,-16.44
181.38,-21.09
171.39,-14.99
179.7,-23.3
181.36,-17.68
180.53,-22.0
181.39,-21.38
181.5,-32.62
169.58,-13.05
169.63,-12.93
181.91,-18.6
181.41,-21.34
183.78,-21.48
181.02,-17.4
181.03,-17.32
169.24,-18.77
179.5,-26.16
167.1,-12.59
167.32,-14.82
183.48,-21.79
182.04,-19.83
182.31,-29.5
166.36,-12.49
182.3,-26.1
181.2,-21.04
165.77,-10.78
185.77,-20.76
166.24,-11.41
183.87,-19.1
180.0,-23.91
182.6,-27.33
166.6,-12.25
179.07,-23.49
182.18,-27.18
182.1,-25.8
182.18,-27.19
182.38,-27.27
182.18,-27.1
182.28,-27.22
181.7,-27.38
182.5,-27.27
182.5,-27.54
182.39,-27.2
182.47,-27.71
182.4,-27.6
182.39,-27.38
185.48,-21.54
182.43,-27.21
182.61,-28.96
166.29,-12.01
181.32,-17.46
182.02,-30.17
182.36,-27.27
181.32,-17.79
171.4,-22.19
182.68,-17.1
182.53,-27.18
166.47,-11.64
181.58,-17.98
185.72,-16.9
179.6,-21.98
179.9,-32.14
169.21,-18.8
183.61,-26.78
182.37,-20.43
183.2,-18.3
182.51,-15.83
182.93,-23.44
179.99,-23.73
184.08,-19.89
181.09,-17.59
181.4,-19.77
184.06,-20.31
186.75,-15.33
181.6,-18.2
186.66,-15.36
186.42,-15.29
186.71,-15.36
167.95,-16.24
167.14,-13.47
182.82,-25.5
167.33,-14.32
182.01,-20.04
181.66,-28.83
181.49,-17.82
180.98,-27.23
165.99,-10.72
183.88,-27.0
186.16,-20.36
183.68,-27.17
181.26,-20.94
181.9,-17.46
181.2,-21.04
179.6,-23.7
181.42,-17.72
188.13,-15.87
181.3,-17.84
170.3,-13.45
182.16,-30.8
166.14,-11.63
181.4,-30.4
178.59,-26.18
184.5,-15.7
181.5,-17.95
182.3,-20.51
167.51,-15.36
180.23,-23.61
181.6,-33.2
186.8,-17.68
184.56,-22.24
169.14,-20.07
180.1,-25.04
185.2,-21.5
167.26,-14.28
167.26,-14.43
181.7,-32.7
181.8,-34.1
186.2,-19.7
180.38,-24.19
182.77,-26.6
186.8,-17.04
179.71,-22.1
180.9,-32.6
182.4,-33.0
181.24,-20.58
182.6,-20.61
169.15,-19.47
180.96,-17.47
183.4,-18.4
180.26,-23.33
182.23,-18.55
178.47,-26.16
183.2,-21.8
182.93,-27.63
169.48,-18.89
182.3,-20.3
182.04,-20.56
185.32,-16.1
166.37,-12.66
184.68,-21.05
168.52,-17.97
182.54,-19.83
183.81,-22.55
183.52,-22.28
185.64,-15.72
181.59,-20.85
181.5,-21.11
180.15,-25.31
182.5,-26.46
179.68,-24.09
167.7,-16.96
182.8,-23.19
184.7,-20.81
167.32,-15.03
181.59,-18.06
185.6,-19.0
179.99,-23.53
180.63,-18.18
186.8,-15.66
180.62,-18.0
180.7,-18.08
180.86,-18.05
181.16,-29.9
181.9,-20.9
167.5,-15.61
185.43,-16.03
181.11,-17.68
180.57,-31.94
184.36,-19.14
185.48,-18.0
185.94,-16.95
166.06,-10.79
185.9,-20.83
181.6,-32.9
177.47,-37.93
183.2,-29.09
180.23,-23.56
185.2,-19.6
180.68,-21.39
184.87,-14.85
183.3,-22.7
181.21,-32.42
181.3,-17.9
183.4,-23.58
180.5,-34.4
181.2,-17.61
181.13,-21.07
170.62,-13.84
181.63,-30.24
169.04,-18.49
180.23,-23.45
183.54,-16.04
185.31,-17.14
172.91,-22.54
185.3,-15.9
181.2,-30.04
180.22,-24.03
184.46,-18.89
187.1,-16.51
186.3,-20.1
183.81,-21.06
166.87,-13.07
180.09,-23.46
182.3,-19.41
165.98,-11.81
165.96,-11.76
165.76,-12.08
180.02,-25.59
183.63,-26.54
184.28,-20.9
187.0,-16.99
180.17,-23.46
181.82,-17.81
187.2,-15.17
166.02,-11.67
184.52,-20.75
186.9,-19.5
179.79,-26.18
185.77,-20.66
182.54,-19.22
183.33,-24.68
167.38,-15.43
181.15,-32.45
180.84,-21.31
167.18,-15.44
167.01,-13.26
183.13,-15.26
180.8,-33.57
167.01,-15.77
166.83,-15.79
183.2,-21.0
166.94,-16.28
184.6,-23.28
167.25,-16.1
181.31,-17.7
166.69,-15.96
167.34,-15.95
181.59,-17.56
167.42,-15.9
166.9,-15.29
166.85,-15.86
166.8,-16.2
166.91,-15.71
167.54,-16.45
166.18,-11.54
181.91,-19.61
187.15,-15.61
181.41,-21.16
182.22,-20.65
168.71,-20.33
166.62,-15.08
184.61,-23.28
184.6,-23.44
184.42,-23.12
184.46,-23.65
183.95,-22.91
180.47,-22.06
166.49,-13.56
181.57,-17.99
184.47,-23.92
182.1,-30.69
182.8,-21.92
180.97,-25.04
183.91,-19.92
182.26,-27.75
181.18,-17.71
183.84,-19.6
179.82,-34.68
167.26,-14.46
187.55,-18.85
182.41,-17.02
186.51,-20.41
182.04,-18.18
187.8,-16.49
181.31,-17.74
181.69,-20.49
182.64,-18.51
183.4,-27.28
167.16,-15.9
181.33,-20.57
166.36,-11.25
181.87,-20.04
181.25,-20.89
186.74,-16.62
168.75,-20.09
179.87,-24.96
181.42,-20.95
179.27,-23.31
181.06,-20.95
181.9,-21.58
167.15,-13.62
166.28,-12.72
185.0,-21.79
169.76,-20.48
166.78,-12.84
182.93,-17.02
182.39,-23.89
184.03,-23.07
181.96,-27.98
182.25,-28.1
180.81,-21.24
180.86,-21.24
174.46,-19.89
179.8,-32.82
185.5,-22.0
185.62,-21.57
180.92,-24.5
180.2,-33.03
182.4,-30.09
170.99,-22.75
168.98,-17.99
181.87,-19.6
186.26,-15.65
181.53,-17.78
184.91,-22.04
168.69,-20.06
181.54,-18.07
165.67,-12.85
181.3,-33.29
179.1,-34.63
179.02,-24.18
180.31,-23.78
171.5,-22.37
179.91,-23.97
181.75,-34.12
179.86,-25.25
172.65,-22.87
182.37,-18.48
181.02,-21.46
183.47,-28.56
183.59,-28.56
180.92,-21.3
183.22,-20.08
182.21,-18.82
183.97,-19.51
167.39,-12.05
186.54,-17.4
180.18,-23.93
181.09,-21.23
167.91,-16.23
183.4,-28.15
185.01,-20.81
181.41,-20.72
184.0,-23.29
176.03,-38.46
186.73,-15.48
177.52,-37.03
181.38,-20.48
181.88,-18.12
181.98,-18.17
166.07,-11.4
180.12,-23.1
170.34,-14.28
171.72,-22.87
180.98,-17.59
182.1,-27.6
180.6,-17.94
180.58,-17.88
180.8,-30.01
182.3,-19.19
180.87,-18.14
180.11,-23.46
181.04,-18.44
180.87,-18.21
180.98,-18.26
184.83,-15.85
180.09,-23.82
184.28,-18.6
181.32,-17.8
166.1,-10.78
181.71,-18.12
182.62,-19.34
167.1,-15.34
182.85,-24.97
186.08,-15.97
180.24,-23.47
179.15,-23.11
181.66,-20.54
169.37,-18.92
184.27,-20.16
180.94,-25.48
181.74,-18.19
186.4,-15.35
169.1,-18.69
181.24,-18.89
183.32,-17.61
181.54,-20.93
181.5,-17.6
181.4,-17.96
182.41,-18.8
182.44,-20.61
181.53,-20.74
179.86,-25.23
179.9,-23.9
181.58,-18.07
185.19,-15.43
167.32,-14.3
181.57,-18.04
167.18,-13.9
177.01,-17.64
181.51,-17.98
180.0,-25.0
184.48,-19.45
187.48,-16.11
179.98,-23.73
186.78,-17.74
183.23,-21.56
181.72,-20.97
186.73,-15.45
167.91,-15.93
185.86,-21.47
170.45,-21.44
180.49,-22.16
172.76,-13.36
181.51,-21.22
182.5,-26.1
185.27,-18.35
182.9,-17.2
171.4,-22.42
181.48,-17.91
178.3,-26.53
178.29,-26.5
168.08,-16.31
169.71,-18.76
182.8,-17.1
182.78,-19.28
180.0,-23.5
181.69,-21.26
181.48,-17.97
181.2,-26.02
180.8,-30.3
179.67,-24.89
167.24,-14.57
186.87,-15.4
183.95,-22.06
178.42,-25.14
181.4,-20.3
181.17,-25.28
181.61,-20.63
186.83,-19.02
185.3,-22.1
175.7,-38.59
183.0,-19.3
181.59,-31.03
181.3,-30.51
183.34,-22.55
180.64,-22.14
180.3,-25.6
181.84,-18.04
185.77,-21.29
180.85,-21.08
169.66,-20.64
180.03,-24.41
167.03,-12.16
185.9,-17.1
185.6,-21.13
167.43,-12.34
186.73,-16.43
184.3,-20.7
180.92,-21.18
185.33,-17.78
183.86,-21.57
166.75,-13.7
167.41,-12.27
184.52,-19.1
184.51,-19.85
166.55,-11.37
186.3,-20.7
185.1,-20.24
182.73,-16.4
184.53,-19.6
180.77,-21.63
180.5,-21.6
181.0,-21.77
183.6,-21.8
180.9,-21.05
165.8,-10.8
181.5,-17.9
171.44,-22.26
171.46,-22.33
184.85,-24.04
186.1,-20.4
184.62,-15.0
183.4,-27.87
166.64,-14.12
180.27,-23.61
185.5,-21.56
181.58,-21.19
181.65,-18.07
178.43,-26.0
181.9,-20.21
182.0,-28.0
180.7,-20.74
180.6,-31.8
169.46,-18.91
182.1,-20.45
183.8,-22.9
181.63,-18.11
184.7,-23.8
180.21,-23.42
184.8,-23.2
169.52,-12.93
181.06,-21.14
184.97,-19.13
181.3,-21.08
181.75,-20.07
182.02,-20.9
179.84,-25.04
180.89,-21.85
186.59,-19.34
167.1,-15.83
183.0,-23.73
181.72,-18.1
180.49,-22.12
185.1,-15.39
186.52,-16.21
180.67,-21.75
180.4,-22.1
179.54,-24.97
186.36,-19.36
179.62,-22.14
182.44,-21.48
168.93,-18.54
182.4,-21.62
166.9,-13.4
185.3,-15.5
185.23,-15.67
183.11,-21.78
180.9,-30.63
185.1,-15.7
184.37,-19.2
182.44,-19.7
182.29,-19.4
185.9,-15.85
168.63,-17.38
179.97,-24.33
185.26,-20.89
169.44,-18.97
181.62,-17.99
185.25,-15.8
182.65,-25.42
169.9,-21.6
180.05,-26.06
181.23,-17.56
180.26,-25.63
179.98,-25.46
180.48,-22.23
181.39,-21.55
185.93,-15.18
166.56,-13.79
167.23,-15.18
186.72,-18.78
181.41,-17.9
185.4,-18.5
171.17,-14.82
185.17,-15.65
181.15,-30.01
167.24,-13.16
180.78,-21.03
180.78,-21.4
181.89,-17.93
181.7,-20.87
166.66,-12.01
169.63,-19.1
181.37,-22.85
185.96,-17.08
174.21,-21.14
167.02,-12.23
181.57,-20.91
167.05,-11.38
167.01,-11.02
180.58,-22.09
181.2,-17.8
182.43,-18.94
182.2,-18.85
181.28,-21.91
179.77,-22.03
181.63,-18.1
184.84,-18.4
181.4,-21.2
166.2,-12.0
166.3,-11.7
182.69,-26.72
178.98,-24.39
169.5,-19.64
170.04,-21.35
184.52,-22.82
177.1,-38.28
167.11,-12.57
180.28,-22.24
166.53,-13.8
183.78,-21.07
181.25,-17.74
180.15,-23.87
185.8,-21.29
180.58,-22.2
185.11,-15.24
181.27,-17.82
180.0,-32.14
185.86,-19.3
180.94,-33.09
181.62,-20.18
181.42,-17.46
181.33,-17.44
179.85,-24.71
170.52,-21.53
169.53,-19.17
182.39,-28.05
179.97,-23.39
171.51,-22.33
185.98,-15.28
181.51,-20.27
165.97,-10.96
169.75,-21.52
184.47,-19.57
183.45,-23.08
182.8,-25.06
181.44,-17.85
167.95,-15.99
184.41,-20.56
181.61,-17.98
181.77,-18.4
182.22,-27.64
181.02,-20.99
167.32,-14.86
182.72,-29.33
182.54,-25.81
166.01,-14.1
185.13,-17.63
180.21,-23.47
180.21,-23.92
185.18,-20.88
184.75,-20.25
186.16,-19.33
181.71,-18.14
183.99,-22.41
181.16,-20.77
181.73,-17.95
181.01,-20.83
182.1,-27.84
182.39,-19.94
183.99,-23.6
184.13,-23.7
182.4,-30.39
182.32,-18.98
182.92,-27.89
184.9,-23.5
184.49,-23.73
181.62,-17.93
178.52,-35.94
184.5,-18.68
179.95,-23.47
180.06,-23.49
180.26,-23.85
183.44,-27.08
184.95,-20.88
181.2,-20.97
183.58,-21.71
184.6,-23.9
167.44,-15.78
166.72,-12.57
184.23,-19.69
183.95,-22.04
181.59,-17.99
180.13,-23.5
180.74,-21.4
166.98,-15.86
184.64,-23.95
182.38,-25.79
184.5,-23.75
184.5,-24.1
169.05,-18.56
184.68,-23.3
185.74,-17.03
183.71,-20.77
183.5,-28.1
182.26,-18.83
170.7,-23.0
181.67,-20.82
170.56,-22.95
183.6,-28.22
183.5,-27.99
187.15,-15.54
166.93,-12.37
171.66,-22.33
170.3,-22.7
181.3,-17.86
184.53,-16.0
181.42,-20.73
181.42,-15.45
183.86,-20.05
181.37,-17.95
188.1,-17.7
179.54,-25.93
167.06,-12.28
184.2,-20.13
187.8,-17.4
170.56,-21.59
